# timestamp_planned,timestamp_executed,observer_id,node_id,pin_name,value
1513357168.0000000,1513357168.0000000,15,15,RST,0
1513357168.0000000,1513357168.0000000,15,15,RST,1
1513357168.0000000,1513357168.0000000,15,15,RST,0
1513357168.0000000,1513357168.0000000,15,15,SIG2,1
1513357168.0000000,1513357168.0000000,1,1,RST,0
1513357168.0000000,1513357168.0000000,1,1,RST,1
1513357168.0000000,1513357168.0000000,1,1,RST,0
1513357168.0000000,1513357168.0000000,1,1,SIG2,1
1513357168.0000000,1513357168.0000000,8,8,RST,0
1513357168.0000000,1513357168.0000000,8,8,RST,1
1513357168.0000000,1513357168.0000000,8,8,RST,0
1513357168.0000000,1513357168.0000000,8,8,SIG2,1
1513357168.0000000,1513357168.0000000,31,31,RST,0
1513357168.0000000,1513357168.0000000,31,31,RST,1
1513357168.0000000,1513357168.0000000,31,31,RST,0
1513357168.0000000,1513357168.0000000,31,31,SIG2,1
1513357168.0000000,1513357168.0000000,28,28,RST,0
1513357168.0000000,1513357168.0000000,28,28,RST,1
1513357168.0000000,1513357168.0000000,28,28,RST,0
1513357168.0000000,1513357168.0000000,28,28,SIG2,1
1513357168.0000000,1513357168.0000000,32,32,RST,0
1513357168.0000000,1513357168.0000000,32,32,RST,1
1513357168.0000000,1513357168.0000000,32,32,RST,0
1513357168.0000000,1513357168.0000000,32,32,SIG2,1
1513357168.0000000,1513357168.0000000,3,3,RST,0
1513357168.0000000,1513357168.0000000,3,3,RST,1
1513357168.0000000,1513357168.0000000,3,3,RST,0
1513357168.0000000,1513357168.0000000,3,3,SIG2,1
1513357168.0000000,1513357168.0000000,33,33,RST,0
1513357168.0000000,1513357168.0000000,33,33,RST,1
1513357168.0000000,1513357168.0000000,33,33,RST,0
1513357168.0000000,1513357168.0000000,33,33,SIG2,1
1513357168.0000000,1513357168.0000000,22,22,RST,0
1513357168.0000000,1513357168.0000000,22,22,RST,1
1513357168.0000000,1513357168.0000000,22,22,RST,0
1513357168.0000000,1513357168.0000000,22,22,SIG2,1
1513357168.0000000,1513357168.0000000,4,4,RST,0
1513357168.0000000,1513357168.0000000,4,4,RST,1
1513357168.0000000,1513357168.0000000,4,4,RST,0
1513357168.0000000,1513357168.0000000,4,4,SIG2,1
1513357168.0000000,1513357168.0000000,6,6,RST,0
1513357168.0000000,1513357168.0000000,6,6,RST,1
1513357168.0000000,1513357168.0000000,6,6,RST,0
1513357168.0000000,1513357168.0000000,6,6,SIG2,1
1513360368.0000000,1513360368.0000000,22,22,RST,1
1513360368.0000000,1513360368.0000000,8,8,RST,1
1513360368.0000000,1513360368.0000000,4,4,RST,1
1513360368.0000000,1513360368.0000000,1,1,RST,1
1513360368.0000000,1513360368.0000000,31,31,RST,1
1513360368.0000000,1513360368.0000000,28,28,RST,1
1513360368.0000000,1513360368.0000000,6,6,RST,1
1513360368.0000000,1513360368.0000000,3,3,RST,1
1513360368.0000000,1513360368.0000000,15,15,RST,1
1513360368.0000000,1513360368.0000000,33,33,RST,1
1513360368.0000000,1513360368.0000000,32,32,RST,1
